Query Id            AP@10               AP@20               NDCG@10             NDCG@20             
1                   0.6833              0.5641              0.3788              0.3346              
2                   0.35                0.35                0.1707              0.1101              
3                   0.7049              0.5949              0.2473              0.2122              
4                   0.2083              0.2333              0.1131              0.1277              
5                   0.75                0.75                0.1574              0.1016              
6                   0.8917              0.8115              0.7034              0.5808              
7                   0.9705              0.9168              0.8204              0.6233              
8                   0                   0.0556              0.0                 0.0167              
9                   0.1944              0.2222              0.1055              0.122               
10                  0.8802              0.8196              0.6533              0.4758              
11                  0.7556              0.6222              0.2502              0.1949              
12                  0.6667              0.5219              0.2832              0.2943              
13                  0.8929              0.693               0.3262              0.2838              
14                  0.7679              0.7679              0.3654              0.2358              
15                  0                   0.0909              0.0                 0.0396              
16                  0.7089              0.6463              0.4288              0.3102              
17                  0.7862              0.6483              0.4184              0.4288              
18                  0.9683              0.8683              0.6739              0.5262              
19                  0                   0                   0.0                 0.0                 
20                  0.125               0.1458              0.0694              0.064               
21                  0.7544              0.6393              0.5338              0.3947              
22                  0.8972              0.7902              0.6325              0.443               
23                  0.8529              0.7695              0.5697              0.3847              
24                  0.7679              0.5926              0.4007              0.402               
25                  0.7222              0.536               0.2985              0.2438              
26                  0.8857              0.7638              0.7008              0.5583              
27                  0.7292              0.6458              0.4393              0.3183              
28                  0.9861              0.8744              0.8669              0.6612              
29                  0.5382              0.4861              0.2894              0.2202              
30                  0.8106              0.8106              0.672               0.4337              
31                  0.1                 0.1                 0.0318              0.0205              
32                  0                   0                   0.0                 0.0                 
33                  0.2917              0.2728              0.1245              0.1342              
34                  0                   0                   0.0                 0.0                 
35                  0.7688              0.6995              0.6154              0.4679              
36                  0.6683              0.5874              0.4983              0.4276              
37                  0.3333              0.3208              0.1492              0.2096              
38                  0.7917              0.5379              0.2142              0.2613              
39                  1.0                 0.9881              0.864               0.6138              
40                  0.4988              0.5172              0.3859              0.4687              
41                  0.7376              0.6868              0.6801              0.5813              
42                  0.7714              0.7402              0.6796              0.509               
43                  0.9029              0.8024              0.5031              0.3408              
44                  0.8179              0.7402              0.415               0.3589              
45                  0.8803              0.8348              0.6442              0.6273              
46                  0.75                0.5769              0.2048              0.2228              
47                  0.7333              0.5954              0.4937              0.3919              
48                  0.8143              0.8143              0.4959              0.3201              
49                  0.1429              0.1429              0.0734              0.0473              
50                  0.25                0.25                0.0948              0.0612              

MAP@10: 0.61
MAP@20: 0.5488
Average NDCG@10: 0.3747
Average NDCG@20: 0.3041
