Query Id            AP@10               AP@20               NDCG@10             NDCG@20             
1                   0.3175              0.3299              0.1946              0.1632              
2                   0                   0                   0.0                 0.0                 
3                   0.6556              0.5053              0.2287              0.2022              
4                   0.125               0.1181              0.0694              0.0615              
5                   0.2679              0.2679              0.0841              0.0543              
6                   0.6787              0.6192              0.5182              0.5329              
7                   0.8524              0.7564              0.6544              0.5524              
8                   0                   0                   0.0                 0.0                 
9                   0.1                 0.1333              0.0636              0.0603              
10                  0.6528              0.5332              0.4025              0.3469              
11                  0.45                0.45                0.1546              0.0998              
12                  0.3778              0.3595              0.1404              0.1821              
13                  0.3667              0.3667              0.0976              0.063               
14                  0.7                 0.7                 0.1952              0.126               
15                  0.3333              0.3333              0.11                0.071               
16                  0.8333              0.5997              0.3287              0.2626              
17                  0.3595              0.3102              0.174               0.1619              
18                  0.6111              0.534               0.4611              0.4171              
19                  0                   0                   0.0                 0.0                 
20                  0.1                 0.1409              0.0318              0.0602              
21                  0.7917              0.6311              0.2836              0.261               
22                  0.8711              0.8711              0.551               0.3556              
23                  0.4778              0.4353              0.2474              0.1783              
24                  0.75                0.4719              0.3149              0.2703              
25                  0.4429              0.4429              0.1913              0.1234              
26                  1.0                 0.6911              0.469               0.4147              
27                  1.0                 0.7576              0.2895              0.2265              
28                  0.7893              0.7893              0.5965              0.385               
29                  0.5889              0.4849              0.2365              0.2263              
30                  0.622               0.581               0.3146              0.2414              
31                  0.5                 0.5                 0.0694              0.0448              
32                  0                   0                   0.0                 0.0                 
33                  0.6095              0.6095              0.226               0.1458              
34                  0                   0                   0.0                 0.0                 
35                  0                   0.0769              0.0                 0.0373              
36                  0.5099              0.457               0.3885              0.423               
37                  0.3556              0.3193              0.2064              0.1661              
38                  0.7292              0.6057              0.2819              0.2764              
39                  0.9889              0.9504              0.7919              0.5843              
40                  0.7321              0.6159              0.5017              0.4363              
41                  0.6716              0.6245              0.6176              0.5573              
42                  0.8228              0.8025              0.7582              0.5637              
43                  0.8333              0.5437              0.2201              0.1987              
44                  0.2262              0.2262              0.0759              0.049               
45                  0.9085              0.8703              0.6745              0.5292              
46                  1.0                 0.7436              0.2489              0.2602              
47                  0.7552              0.6906              0.6104              0.4835              
48                  0.1964              0.2143              0.1061              0.1069              
49                  0.2                 0.2                 0.0851              0.0549              
50                  0                   0.0625              0.0                 0.0348              

MAP@10: 0.5031
MAP@20: 0.4465
Average NDCG@10: 0.2653
Average NDCG@20: 0.221
